product_name,merchant_category,search_price,aw_image_url,merchant_deep_link,category_name
Bench Womens Bench Slogan Hoody Grey,Womens|Hoodies And Sweatshirts|OTH Hoody,29.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fe%2Fn%2F4%2Fen4782_1_large.jpg&feedId=2606&k=963f4d4b2cdf5e856998da2c29982d1e905ddb81,http://www.mandmdirect.ie/01/details/EN4782,Women's Clothing
Board Angels Womens Marl Terry Hoody Denim Blue Marl,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2057_1_large.jpg&feedId=2606&k=7b478d834dbbec1a0a6d9319b4f8fa6bb810dfa4,http://www.mandmdirect.ie/01/details/FQ2057,Women's Clothing
Board Angels Womens Marl Terry Hoody Rose Marl,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2058_1_large.jpg&feedId=2606&k=1d255666b5473926d660b42b695f794743612fad,http://www.mandmdirect.ie/01/details/FQ2058,Women's Clothing
Board Angels Womens Hoody With Chest Print Navy,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2089_1_large.jpg&feedId=2606&k=4c6501af5196fc2410f1bce6ac079384746644bb,http://www.mandmdirect.ie/01/details/FQ2089,Women's Clothing
Board Angels Womens Hoody With Chest Print Navy Marl,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2090_1_large.jpg&feedId=2606&k=de0fec649ff204ee105b6e7848339d8d5e023d52,http://www.mandmdirect.ie/01/details/FQ2090,Women's Clothing
Board Angels Womens Hoody With Chest Print Dusty Rose,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2091_1_large.jpg&feedId=2606&k=9701fd1c17b40d20d22a4d0a9c92934b187e07be,http://www.mandmdirect.ie/01/details/FQ2091,Women's Clothing
Board Angels Womens Hoody With Chest Print Dove Grey,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fq%2F2%2Ffq2092_1_large.jpg&feedId=2606&k=2e8ce223714bd3c426b10e3c47a537106662b924,http://www.mandmdirect.ie/01/details/FQ2092,Women's Clothing
Puma Womens Xtreme Cropped Hoody Puma Black,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fp%2Fu%2F3%2Fpu3340_1_large.jpg&feedId=2606&k=d67b73082a52976025ad90b6123d8d641aa446c6,http://www.mandmdirect.ie/01/details/PU3340,Women's Clothing
Puma Womens Xtreme Cropped Hoody Light Grey Heather,Womens|Hoodies And Sweatshirts|OTH Hoody,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fp%2Fu%2F3%2Fpu3342_1_large.jpg&feedId=2606&k=06eb47bd61ced9690e981429a567440f1e1a73c9,http://www.mandmdirect.ie/01/details/PU3342,Women's Clothing
Reebok Womens Workout Ready Graphic Speedwick Hoody Blue/Navy,Womens|Hoodies And Sweatshirts|OTH Hoody,17.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fr%2Fe%2F8%2Fre8188_1_large.jpg&feedId=2606&k=7a9748dabd9205466962d500d2fdb67bc58f3f9f,http://www.mandmdirect.ie/01/details/RE8188,Women's Clothing
